Zeit;Brentanoschule (kWh);Stadbibliothek (kWh);F.A.N Frankenstolz Arena (kWh);Rathaus (kWh)
Jan 19;141.972,60;80.173,80;95.000,00;180.355,16
Feb 19;71.402,80;39.895,80;69.400,00;175.943,36
Mär 19;64.239,00;46.060,00;58.000,00;132.680,94
Apr 19;41.003,20;17.875,20;33.000,00;90.425,01
Mai 19;45.932,60;13.364,75;27.400,00;71.301,64
Jun 19;6.595,40;0,00;7.300,00;13.478,62
Jul 19;0,00;0,00;6.300,00;8.219,69
Aug 19;13.641,60;0,00;7.000,00;5.544,10
Sep 19;10.711,40;13.644,05;7.000,00;48.328,44
Okt 19;37.014,60;13.720,00;34.300,00;82.062,78
Nov 19;78.272,60;55.680,00;67.700,00;161.953,05
Dez 19;70.079,80;64.535,36;71.000,00;135.037,81
Jan 20;104.987,40;46.832,00;78.000,00;157.670,48
Feb 20;74.029,20;45.924,00;64.000,00;156.525,60
Mär 20;77.380,80;39.474,00;50.000,00;138.558,86
Apr 20;21.422,80;58.995,00;29.000,00;36.142,32
Mai 20;26.342,40;20.000,00;18.000,00;99.810,56
Jun 20;7.800,80;10.000,00;11.000,00;21.807,35
Jul 20;5.448,80;0,00;6.000,00;10.064,93
Aug 20;6.095,60;0,00;7.000,00;22.646,09
Sep 20;14.278,60;10.000,00;7.000,00;28.517,30
Okt 20;62.484,80;10.000,00;34.000,00;101.488,04
Nov 20;81.898,60;24.000,00;53.000,00;129.166,60
Dez 20;95.099,20;46.237,00;83.000,00;225.622,18
Jan 21;121.794,40;49.763,00;52.000,00;170.265,06
Feb 21;85.044,40;50.000,00;49.000,00;180.329,99
Mär 21;99.107,40;50.000,00;42.000,00;157.683,90
Apr 21;70.971,60;30.000,00;29.900,00;120.779,16
Mai 21;34.545,00;35.000,00;17.200,00;73.809,49
Jun 21;23.402,40;34.553,00;6.400,00;28.517,30
Jul 21;9.839,20;739,00;6.200,00;24.323,58
Aug 21;20.599,60;0,00;6.000,00;30.194,79
Sep 21;16.375,80;3.708,00;7.000,00;45.292,18
Okt 21;69.099,80;35.408,00;33.400,00;78.841,95
Nov 21;91.777,00;50.592,00;67.000,00;144.264,00
Dez 21;77.655,20;63.938,00;75.500,00;165.232,60
Jan 22;132.995,80;59.569,00;55.200,00;186.201,20
Feb 22;86.171,40;50.910,00;56.700,00;120.779,16
Mär 22;78.566,60;46.623,00;45.100,00;145.102,74
Apr 22;47.040,00;32.118,00;27.300,00;93.939,35
Mai 22;8.232,00;4.598,00;7.100,00;40.259,72
Jun 22;6.722,80;894,00;6.000,00;22.646,09
Jul 22;6.693,40;400,00;6.000,00;27.678,56
Aug 22;3.675,00;350,00;7.000,00;13.419,91
Sep 22;15.160,60;8.620,00;12.000,00;30.194,79
Okt 22;38.700,20;16.019,00;16.300,00;68.777,02
Nov 22;60.387,60;50.141,00;46.700,00;103.165,53
Dez 22;85.211,00;41.067,00;72.300,00;118.262,93
Jan 23;120.892,80;75.477,00;78.700,00;134.199,07
Feb 23;193.520,60;60.936,00;60.000,00;115.746,69
Mär 23;61.936,00;48.340,00;49.000,00;118.262,93
Apr 23;10.917,20;30.000,00;31.000,00;58.712,09
Mai 23;4.606,00;2.000,00;15.000,00;52.840,88
Jun 23;5.987,80;0,00;7.000,00;19.291,12
Jul 23;3.175,20;0,00;6.000,00;27.678,56
Aug 23;4.076,80;0,00;4.000,00;23.484,84
Sep 23;3.743,60;0,00;7.000,00;29.356,05
Okt 23;36.201,20;27.200,00;30.000,00;50.324,65
Nov 23;76.293,00;40.800,00;51.000,00;93.100,60
Dez 23;76.783,00;58.173,00;70.800,00;129.166,60